additions, removals
block,
stained,
stone' bricks, stonebrick
 , colored
 , base
 , damaged 0
chipped, damaged 1
 , 2
stage0, stage 0
stage1, stage 1
stage2, stage 2
stage3, stage 3
stage4, stage 4
stage5, stage 5
stage6, stage 6
stage7, stage 7
stage8, stage 8
bottom, lower
top, upper
 , flower
terracotta, hardened stained clay
tall, double plant
redstone, off redstone
oak, wood
oak bottom, wood lower
oak top, wood upper
trapdoor oak, trapdoor
tripwire, trip wire
tripwire hook, trip wire source
note block, noteblock
corner, turned normal
rail, rail normal
on, powered
powered on, golden powered
powered, golden
torch, on torch
grass, tallgrass
wooden, wood
furnace, furnace off
poppy, flower rose
